employee_id,is_promoted,prediction,probability
1005,0,0.0,"[0.929946176028293,0.07005382397170695]"
1006,0,0.0,"[0.9383034871971081,0.06169651280289181]"
1021,0,0.0,"[0.9040216940311799,0.09597830596882011]"
1026,0,0.0,"[0.9342297502412348,0.06577024975876526]"
1030,0,0.0,"[0.9249810790126597,0.07501892098734027]"
1033,0,0.0,"[0.9340594930468409,0.06594050695315903]"
1038,0,0.0,"[0.9308042937937041,0.06919570620629584]"
1048,0,0.0,"[0.9179290423783756,0.0820709576216243]"
1063,0,0.0,"[0.940588343810663,0.05941165618933693]"
1067,0,0.0,"[0.9294590787502648,0.0705409212497352]"
1070,0,0.0,"[0.8831160961713859,0.11688390382861413]"
1076,0,0.0,"[0.9424986011545979,0.057501398845401966]"
1087,0,0.0,"[0.9244345788230774,0.07556542117692254]"
1106,0,0.0,"[0.9407651278707115,0.05923487212928841]"
1116,0,0.0,"[0.8988627193957431,0.10113728060425692]"
1131,0,0.0,"[0.9065594789799907,0.09344052102000933]"
1133,0,0.0,"[0.8650454104414967,0.1349545895585032]"
1137,0,0.0,"[0.9038974446637934,0.0961025553362065]"
1141,0,0.0,"[0.9353345887568503,0.06466541124314966]"
1147,0,0.0,"[0.9156410331807332,0.08435896681926681]"
1160,0,0.0,"[0.8745282823509433,0.12547171764905662]"
1179,0,0.0,"[0.9277224488945313,0.07227755110546882]"
1198,0,0.0,"[0.9280840702893299,0.07191592971067015]"
1201,0,0.0,"[0.933191785832444,0.0668082141675561]"
1208,0,0.0,"[0.9196143425951401,0.08038565740485991]"
1212,0,0.0,"[0.9202163190574931,0.07978368094250679]"
1215,0,0.0,"[0.9304056110467168,0.06959438895328322]"
1225,0,0.0,"[0.9372861022070866,0.06271389779291342]"
1248,0,0.0,"[0.9280283163077769,0.07197168369222309]"
1249,0,0.0,"[0.9326002085309684,0.06739979146903169]"
1262,0,0.0,"[0.9363082507989554,0.06369174920104449]"
1267,0,0.0,"[0.9294973177288485,0.07050268227115146]"
1269,0,0.0,"[0.9301733521542197,0.06982664784578027]"
1278,0,0.0,"[0.9278970156087165,0.07210298439128349]"
1279,0,0.0,"[0.9321925695407112,0.0678074304592889]"
1287,0,0.0,"[0.8978621487819155,0.10213785121808454]"
1292,0,0.0,"[0.9354104428712282,0.06458955712877189]"
1297,0,0.0,"[0.9283108027327905,0.07168919726720946]"
1315,1,0.0,"[0.9243660490619854,0.07563395093801457]"
1324,0,0.0,"[0.92496096172804,0.07503903827195994]"
1326,0,0.0,"[0.9235404281907732,0.07645957180922681]"
1338,0,0.0,"[0.9282983799331416,0.07170162006685839]"
1343,0,0.0,"[0.9304745819301753,0.06952541806982471]"
1356,0,0.0,"[0.9364596075208387,0.06354039247916128]"
1374,0,0.0,"[0.902739845650382,0.097260154349618]"
1389,1,0.0,"[0.9354321054437461,0.0645678945562539]"
1396,0,0.0,"[0.9258807158106654,0.07411928418933462]"
1397,0,0.0,"[0.9129740381169198,0.0870259618830802]"
1403,0,0.0,"[0.8753506900735858,0.12464930992641424]"
1423,0,0.0,"[0.8984779559879985,0.10152204401200154]"
1424,0,0.0,"[0.9321925695407112,0.0678074304592889]"
1431,0,0.0,"[0.903870269821413,0.09612973017858696]"
1432,0,0.0,"[0.927603337750276,0.07239666224972391]"
1438,0,0.0,"[0.9313273509269939,0.06867264907300605]"
1442,0,0.0,"[0.8728004895675932,0.12719951043240685]"
1445,0,0.0,"[0.9280921887613333,0.07190781123866669]"
1448,0,0.0,"[0.9305894146645055,0.06941058533549449]"
1452,0,0.0,"[0.8940518046156533,0.1059481953843468]"
1466,0,0.0,"[0.9288167681586106,0.07118323184138936]"
1472,0,0.0,"[0.9300234094761635,0.06997659052383652]"
1474,0,0.0,"[0.9332456260056959,0.0667543739943041]"
1477,0,0.0,"[0.7549228752320736,0.24507712476792645]"
1488,1,0.0,"[0.8904825015372295,0.10951749846277058]"
1491,1,0.0,"[0.620479927101965,0.3795200728980349]"
1495,0,0.0,"[0.9323574017785952,0.0676425982214048]"
1508,0,0.0,"[0.897654441397783,0.10234555860221697]"
1520,0,0.0,"[0.9048502962879891,0.09514970371201092]"
1523,0,0.0,"[0.9016563974666947,0.09834360253330532]"
1531,0,0.0,"[0.9322363065476733,0.06776369345232658]"
1540,0,0.0,"[0.939908016176901,0.06009198382309907]"
1541,0,0.0,"[0.9303559498302595,0.06964405016974046]"
1544,0,0.0,"[0.9240719323786435,0.07592806762135647]"
1545,0,0.0,"[0.9273496664714957,0.07265033352850421]"
1556,0,0.0,"[0.930412116355047,0.06958788364495304]"
1576,0,0.0,"[0.9323014001871099,0.06769859981289002]"
1590,0,0.0,"[0.8934477431429055,0.10655225685709449]"
1592,0,0.0,"[0.9343024804603058,0.0656975195396942]"
1596,0,0.0,"[0.937849311060439,0.06215068893956095]"
1598,0,0.0,"[0.9268934547813974,0.07310654521860262]"
1611,1,0.0,"[0.8789518517915321,0.12104814820846795]"
1614,0,0.0,"[0.9297808137766559,0.07021918622334405]"
1616,0,0.0,"[0.9248907367443719,0.07510926325562807]"
1622,0,0.0,"[0.9312181277508204,0.06878187224917971]"
1632,0,0.0,"[0.9208065763997463,0.07919342360025372]"
1633,1,0.0,"[0.8808441795133696,0.11915582048663043]"
1634,0,0.0,"[0.9056518451395011,0.09434815486049888]"
1635,0,0.0,"[0.934092664417743,0.06590733558225709]"
1638,0,0.0,"[0.9067431183240743,0.09325688167592579]"
1642,0,0.0,"[0.8635685731319518,0.13643142686804827]"
1645,1,0.0,"[0.898068662091566,0.10193133790843396]"
1650,0,0.0,"[0.9278970156087165,0.07210298439128349]"
1651,0,0.0,"[0.9234858313956338,0.07651416860436623]"
1657,0,0.0,"[0.9014051051253232,0.09859489487467676]"
1658,0,0.0,"[0.9086097255317901,0.0913902744682099]"
1661,0,0.0,"[0.9279835245760814,0.07201647542391867]"
1686,0,0.0,"[0.9363438610807637,0.06365613891923622]"
1692,1,0.0,"[0.9267685667628058,0.07323143323719411]"
1695,0,0.0,"[0.92900429801355,0.07099570198644989]"
1721,0,0.0,"[0.9332456260056959,0.0667543739943041]"
1728,0,0.0,"[0.9280460130710185,0.07195398692898151]"
1778,0,0.0,"[0.9293725697829,0.07062743021710001]"
1779,1,0.0,"[0.924321407747482,0.0756785922525181]"
1783,1,0.0,"[0.5870565038238402,0.4129434961761597]"
1790,0,0.0,"[0.9394567279585998,0.06054327204140015]"
1791,0,0.0,"[0.924636088294768,0.07536391170523209]"
1797,0,0.0,"[0.9383777426469682,0.06162225735303174]"
1804,0,0.0,"[0.9225939742922258,0.07740602570777427]"
1807,0,0.0,"[0.9281203318720371,0.0718796681279629]"
1811,0,0.0,"[0.9255530859830957,0.07444691401690436]"
1813,0,0.0,"[0.8979055747703988,0.10209442522960116]"
1814,0,0.0,"[0.9348058914553369,0.06519410854466313]"
1816,1,0.0,"[0.9298069541688949,0.07019304583110508]"
1839,1,0.0,"[0.7951111699937344,0.20488883000626562]"
1842,0,0.0,"[0.9300834908338983,0.06991650916610162]"
1849,0,0.0,"[0.9279664649985193,0.07203353500148066]"
1864,0,0.0,"[0.9053352294438252,0.09466477055617491]"
1889,0,0.0,"[0.9384075757141611,0.061592424285838894]"
1900,0,0.0,"[0.9242821422004647,0.07571785779953535]"
1901,0,0.0,"[0.9242103732404516,0.07578962675954834]"
1902,0,0.0,"[0.9213441133231197,0.07865588667688025]"
1914,0,0.0,"[0.9265527621335934,0.07344723786640658]"
1922,0,0.0,"[0.9316448129774533,0.06835518702254678]"
1927,0,0.0,"[0.8893870892175278,0.11061291078247207]"
1931,0,0.0,"[0.9254626923389095,0.0745373076610905]"
1955,0,0.0,"[0.9319715647276374,0.06802843527236259]"
1961,1,0.0,"[0.9298787757739335,0.07012122422606651]"
1962,0,0.0,"[0.8793270926394556,0.12067290736054437]"
1972,0,0.0,"[0.9273496664714957,0.07265033352850421]"
1979,0,0.0,"[0.9342150614876036,0.06578493851239632]"
1982,0,0.0,"[0.9297234168805629,0.07027658311943714]"
1999,0,0.0,"[0.9268001896336234,0.07319981036637661]"
2002,0,0.0,"[0.9336319126157616,0.06636808738423836]"
2004,0,0.0,"[0.9253481615786985,0.07465183842130158]"
2011,0,0.0,"[0.9332880275456701,0.06671197245432986]"
2022,0,0.0,"[0.9200944858747627,0.07990551412523725]"
2046,0,0.0,"[0.935768868792241,0.06423113120775914]"
2047,0,0.0,"[0.936798324539019,0.063201675460981]"
2053,0,0.0,"[0.9159474234920133,0.08405257650798674]"
2055,0,0.0,"[0.92852485760596,0.07147514239404007]"
2057,0,0.0,"[0.9271110041776938,0.07288899582230628]"
2075,0,0.0,"[0.9285065909369777,0.0714934090630222]"
2077,0,0.0,"[0.9293897970311366,0.07061020296886339]"
2085,1,0.0,"[0.9333187999669668,0.06668120003303332]"
2095,1,0.0,"[0.6013363473260912,0.3986636526739089]"
2120,0,0.0,"[0.9357517504725419,0.06424824952745807]"
2133,0,0.0,"[0.9313855322044434,0.06861446779555665]"
2144,0,0.0,"[0.9172243753843574,0.08277562461564256]"
2146,0,0.0,"[0.8876154494130316,0.11238455058696836]"
2163,0,0.0,"[0.8774868813109619,0.12251311868903805]"
2165,0,0.0,"[0.9271795311348625,0.07282046886513752]"
2205,0,0.0,"[0.9268955808973287,0.07310441910267133]"
2216,0,0.0,"[0.9136736300104231,0.08632636998957685]"
2222,0,0.0,"[0.931678828664731,0.06832117133526906]"
2233,0,0.0,"[0.9318715092023233,0.06812849079767672]"
2241,0,0.0,"[0.9256415645565953,0.07435843544340467]"
2246,0,0.0,"[0.9415055926831647,0.05849440731683535]"
2257,1,0.0,"[0.9119088233703415,0.08809117662965849]"
2264,0,0.0,"[0.933197312832296,0.0668026871677039]"
2270,0,0.0,"[0.9272015692664992,0.07279843073350081]"
2291,0,0.0,"[0.9282110844238527,0.07178891557614736]"
2294,0,0.0,"[0.9066248516756966,0.09337514832430345]"
2295,0,0.0,"[0.9281333226554618,0.07186667734453812]"
2301,0,0.0,"[0.9282475639808463,0.07175243601915374]"
2303,0,0.0,"[0.9333041112133356,0.06669588878666437]"
2306,0,0.0,"[0.9346793553287327,0.06532064467126733]"
2308,0,0.0,"[0.9348206175290603,0.0651793824709397]"
2315,1,0.0,"[0.9017697384541653,0.09823026154583477]"
2323,0,0.0,"[0.8892794653599337,0.11072053464006627]"
2328,0,0.0,"[0.9258566520286485,0.07414334797135154]"
2331,0,0.0,"[0.9286578710879041,0.07134212891209586]"
2339,0,0.0,"[0.934170710660605,0.06582928933939494]"
2340,0,0.0,"[0.9241360705963467,0.07586392940365322]"
2341,0,0.0,"[0.9316448129774533,0.06835518702254678]"
2344,0,0.0,"[0.9204620986695001,0.07953790133049987]"
2365,0,0.0,"[0.9298677261982408,0.07013227380175918]"
2370,0,0.0,"[0.9285151230469478,0.07148487695305213]"
2372,0,0.0,"[0.9372188003679301,0.06278119963206986]"
2389,0,0.0,"[0.9323990420362125,0.06760095796378741]"
2400,0,0.0,"[0.9140184846636487,0.08598151533635132]"
2405,0,0.0,"[0.9320117423156654,0.06798825768433463]"
2416,0,0.0,"[0.9280630732919195,0.07193692670808041]"
2417,0,0.0,"[0.9314279915572651,0.06857200844273492]"
2431,0,0.0,"[0.932806185170068,0.06719381482993199]"
2438,0,0.0,"[0.9200708110809253,0.07992918891907484]"
2439,0,0.0,"[0.9359391259866346,0.06406087401336535]"
2447,0,0.0,"[0.9140416529028625,0.0859583470971375]"
2466,1,0.0,"[0.8961197448559624,0.1038802551440376]"
2495,0,0.0,"[0.9319506339528516,0.06804936604714841]"
2502,0,0.0,"[0.9250587463920557,0.07494125360794432]"
2505,0,0.0,"[0.9265527621335934,0.07344723786640658]"
2507,0,0.0,"[0.9303384378299004,0.06966156217009954]"
2513,0,0.0,"[0.9266137108757323,0.07338628912426771]"
2521,0,0.0,"[0.9300175417534813,0.06998245824651875]"
2523,0,0.0,"[0.9264398665578512,0.07356013344214885]"
2536,0,0.0,"[0.9291394644248965,0.07086053557510347]"
2552,0,0.0,"[0.9319929488739842,0.06800705112601572]"
2558,0,0.0,"[0.8938895384573297,0.10611046154267031]"
2567,0,0.0,"[0.9244676750623233,0.07553232493767671]"
2579,0,0.0,"[0.9277558478939955,0.07224415210600457]"
2581,0,0.0,"[0.9249613855698172,0.07503861443018273]"
2583,0,0.0,"[0.8915116202740163,0.10848837972598371]"
2588,0,0.0,"[0.9225047902942741,0.07749520970572597]"
2594,0,0.0,"[0.8975019928371024,0.1024980071628975]"
2595,0,0.0,"[0.8761518924657505,0.12384810753424955]"
2598,0,0.0,"[0.9427621223506849,0.05723787764931515]"
2609,0,0.0,"[0.916041032300405,0.08395896769959502]"
2610,0,0.0,"[0.9399242179471838,0.060075782052816204]"
2623,0,0.0,"[0.8972142718428435,0.10278572815715649]"
2627,0,0.0,"[0.9268346399282871,0.07316536007171297]"
2629,0,0.0,"[0.9316448129774533,0.06835518702254678]"
2639,0,0.0,"[0.9318181866578965,0.06818181334210348]"
2650,0,0.0,"[0.9353874915931069,0.0646125084068932]"
2656,0,0.0,"[0.9363618361695553,0.06363816383044477]"
2668,0,0.0,"[0.9348579185179727,0.06514208148202717]"
2671,0,0.0,"[0.9384133499407953,0.06158665005920471]"
2674,0,0.0,"[0.9348579185179727,0.06514208148202717]"
2677,0,0.0,"[0.9229476104473043,0.07705238955269558]"
2685,0,0.0,"[0.934235277241087,0.06576472275891308]"
2690,0,0.0,"[0.9287263196210096,0.07127368037899044]"
2703,0,0.0,"[0.9283240261811395,0.07167597381886058]"
2714,0,0.0,"[0.9295203852740352,0.07047961472596487]"
2718,0,0.0,"[0.9234858313956338,0.07651416860436623]"
2726,0,0.0,"[0.9392461485570626,0.06075385144293748]"
2729,0,0.0,"[0.9246646739616972,0.07533532603830286]"
2734,0,0.0,"[0.9266726657224267,0.07332733427757326]"
2736,0,0.0,"[0.9211646668287632,0.07883533317123675]"
2737,0,0.0,"[0.9190704823406946,0.08092951765930555]"
2748,1,0.0,"[0.8702376241778342,0.12976237582216577]"
2752,0,0.0,"[0.9265527621335934,0.07344723786640658]"
2754,0,0.0,"[0.933767844611877,0.06623215538812292]"
2761,0,0.0,"[0.9335536190255814,0.06644638097441855]"
2769,0,0.0,"[0.8790534087577399,0.12094659124226005]"
2773,0,0.0,"[0.9287767381657789,0.0712232618342212]"
2778,0,0.0,"[0.9322363065476733,0.06776369345232658]"
2791,0,0.0,"[0.9335541245191448,0.06644587548085527]"
2793,0,0.0,"[0.9268346399282871,0.07316536007171297]"
2797,1,0.0,"[0.9259448284308224,0.07405517156917765]"
2804,0,0.0,"[0.9205198780362568,0.07948012196374316]"
2808,0,0.0,"[0.9342108469019865,0.06578915309801346]"
2815,0,0.0,"[0.8753506900735858,0.12464930992641424]"
2829,0,0.0,"[0.9291875203371694,0.07081247966283055]"
2830,0,0.0,"[0.9344655458657549,0.06553445413424513]"
2845,0,0.0,"[0.9238149609890611,0.07618503901093886]"
2851,0,0.0,"[0.9325407889209,0.06745921107910006]"
2852,0,0.0,"[0.881467585012448,0.11853241498755201]"
2862,1,0.0,"[0.919583786340389,0.08041621365961105]"
2865,0,0.0,"[0.8789819664566185,0.1210180335433815]"
2870,0,0.0,"[0.9250003239339175,0.07499967606608257]"
2881,0,0.0,"[0.9239448976575608,0.07605510234243926]"
2882,0,0.0,"[0.9297234168805629,0.07027658311943714]"
2923,0,0.0,"[0.9336408304773542,0.0663591695226457]"
2944,1,0.0,"[0.8788960530666334,0.12110394693336661]"
2948,1,0.0,"[0.8927243386080638,0.10727566139193632]"
2957,1,0.0,"[0.908199179281227,0.09180082071877312]"
2968,0,0.0,"[0.9360614019115756,0.06393859808842434]"
2974,0,0.0,"[0.8822060182686977,0.1177939817313024]"
2979,0,0.0,"[0.91818174169295,0.08181825830705002]"
2980,0,0.0,"[0.7348958021370694,0.26510419786293066]"
2987,0,0.0,"[0.9384377879181347,0.06156221208186533]"
2991,0,0.0,"[0.9235002643888915,0.07649973561110845]"
2994,0,0.0,"[0.936409138376452,0.063590861623548]"
3003,0,0.0,"[0.932969423252157,0.06703057674784298]"
3030,0,0.0,"[0.932539594048025,0.06746040595197497]"
3041,0,0.0,"[0.9176240626158669,0.08237593738413303]"
3046,0,0.0,"[0.932969423252157,0.06703057674784298]"
3049,0,0.0,"[0.9293060185584624,0.07069398144153763]"
3056,0,0.0,"[0.8857800451338333,0.11421995486616662]"
3065,0,0.0,"[0.9252289811449602,0.07477101885503988]"
3072,0,0.0,"[0.9342829317314992,0.0657170682685008]"
3081,0,0.0,"[0.8936702809623251,0.1063297190376749]"
3086,0,0.0,"[0.930299020257681,0.06970097974231904]"
3098,1,1.0,"[0.4795464508606097,0.5204535491393902]"
3104,0,0.0,"[0.8952554797567087,0.10474452024329123]"
3131,0,0.0,"[0.9282153415239299,0.07178465847607009]"
3132,0,0.0,"[0.8979796581589015,0.10202034184109855]"
3135,0,0.0,"[0.928639537898554,0.07136046210144595]"
3136,0,0.0,"[0.9040314225608611,0.09596857743913885]"
3138,0,0.0,"[0.9090915792840313,0.09090842071596862]"
3145,0,0.0,"[0.899420845460725,0.10057915453927511]"
3146,0,0.0,"[0.9331485427725729,0.0668514572274271]"
3172,0,0.0,"[0.888141755839536,0.11185824416046401]"
3175,0,0.0,"[0.9208173352512904,0.07918266474870966]"
3181,0,0.0,"[0.9311547604297201,0.06884523957027985]"
3199,0,0.0,"[0.9330417435077721,0.06695825649222785]"
3210,0,0.0,"[0.9243897260006946,0.07561027399930538]"
3223,1,0.0,"[0.930702808965424,0.06929719103457606]"
3231,0,0.0,"[0.92496096172804,0.07503903827195994]"
3243,0,0.0,"[0.9317949208954772,0.06820507910452277]"
3263,0,0.0,"[0.9322212051469626,0.06777879485303744]"
3269,0,0.0,"[0.8954587368760808,0.10454126312391925]"
3276,0,0.0,"[0.9335541245191448,0.06644587548085527]"
3284,0,0.0,"[0.9317802348237377,0.06821976517626216]"
3286,0,0.0,"[0.9320584729778889,0.06794152702211101]"
3293,0,0.0,"[0.9235404281907732,0.07645957180922681]"
3301,0,0.0,"[0.9327768833211728,0.06722311667882722]"
3305,0,0.0,"[0.9285524576527056,0.07144754234729446]"
3314,0,0.0,"[0.9301031350074999,0.06989686499250004]"
3319,0,0.0,"[0.8988968044838143,0.10110319551618575]"
3346,1,0.0,"[0.9331485427725729,0.0668514572274271]"
3349,0,0.0,"[0.9101800912649652,0.08981990873503477]"
3353,0,0.0,"[0.8798020024739901,0.1201979975260099]"
3360,0,0.0,"[0.9274347180150143,0.07256528198498567]"
3362,0,0.0,"[0.9261303304198494,0.0738696695801506]"
3375,0,0.0,"[0.8935632212617428,0.10643677873825724]"
3376,0,0.0,"[0.937955553506028,0.06204444649397209]"
3383,0,0.0,"[0.9376781546290001,0.0623218453709999]"
3387,1,0.0,"[0.9278970156087165,0.07210298439128349]"
3405,0,0.0,"[0.9345904621198529,0.06540953788014713]"
3407,0,0.0,"[0.9315629554462014,0.06843704455379868]"
3408,1,0.0,"[0.8849846985489352,0.11501530145106477]"
3419,0,0.0,"[0.9294274875556324,0.0705725124443676]"
3420,0,0.0,"[0.9314279915572651,0.06857200844273492]"
3425,0,0.0,"[0.9392904763040028,0.06070952369599719]"
3432,0,0.0,"[0.9343035928362923,0.06569640716370768]"
3434,0,0.0,"[0.9239294142112331,0.07607058578876685]"
3440,0,0.0,"[0.9053352294438252,0.09466477055617491]"
3444,0,0.0,"[0.902140641762181,0.09785935823781895]"
3445,0,0.0,"[0.9370690022885496,0.06293099771145041]"
3446,0,0.0,"[0.9280840702893299,0.07191592971067015]"
3448,0,0.0,"[0.9190073522201354,0.0809926477798646]"
3449,0,0.0,"[0.9237364159096526,0.07626358409034739]"
3452,0,0.0,"[0.8984937549687414,0.1015062450312585]"
3454,0,0.0,"[0.9337871013365522,0.06621289866344773]"
3458,0,0.0,"[0.8968064662495785,0.10319353375042145]"
3463,0,0.0,"[0.9183654568413205,0.0816345431586795]"
3471,0,0.0,"[0.8643269027747132,0.13567309722528673]"
3474,0,0.0,"[0.9291071239890829,0.07089287601091708]"
3476,0,0.0,"[0.9337577058066497,0.06624229419335029]"
3497,0,0.0,"[0.9303691505017307,0.06963084949826916]"
3503,0,0.0,"[0.9320709491241409,0.06792905087585902]"
3513,0,0.0,"[0.9031493737450633,0.09685062625493675]"
3514,0,0.0,"[0.9272015692664992,0.07279843073350081]"
3516,0,0.0,"[0.9022264331994969,0.097773566800503]"
3550,0,0.0,"[0.928460559792691,0.07153944020730897]"
3553,0,0.0,"[0.9339027718313322,0.06609722816866773]"
3565,0,0.0,"[0.9188998568447072,0.08110014315529285]"
3566,0,0.0,"[0.7946208358761924,0.2053791641238077]"
3567,0,0.0,"[0.924019600103826,0.07598039989617399]"
3576,0,0.0,"[0.9243093545362082,0.07569064546379181]"
3580,0,0.0,"[0.9222210251737454,0.07777897482625461]"
3597,0,0.0,"[0.9193463911629605,0.0806536088370396]"
3600,0,0.0,"[0.8894661599947646,0.11053384000523529]"
3610,0,0.0,"[0.9024051725839565,0.0975948274160435]"
3611,0,0.0,"[0.9296553370892753,0.07034466291072475]"
3618,0,0.0,"[0.9280630732919195,0.07193692670808041]"
3641,0,0.0,"[0.9176242103322747,0.0823757896677253]"
